//X Y Z R G B Nx Ny Nz
50000
-8.63451672 7.97810221 15.72542763 1 1 1 -0.923356 -0.320116 0.211988
-6.27408600 9.46795082 3.97348857 0 0 0 0.001166 -0.218041 -0.975939
-6.34530878 9.89170170 8.10316181 0 0 0 0.000978 0.999999 0.000978
-10.16639423 9.30336094 11.51336956 0 0 0 0.001273 -0.378186 -0.925729
-6.86749315 10.08173180 11.37127304 0 0 0 0.000978 -0.999999 0.000978
-11.25993252 4.28417110 -1.35755730 0 0 0 0.000978 0.999999 0.000978
-8.98524094 9.24199295 14.48255920 0 0 0 0.001093 -0.991782 -0.127937
-7.65076733 9.43814468 13.85905361 0 0 0 0.001093 0.991782 0.127937
-5.81615686 9.84404087 4.15746546 0 0 0 -0.999999 0.000978 0.000978
-9.80956841 6.41872025 10.79851818 0 0 0 -0.999999 0.000978 0.000978
-6.09091854 10.14763165 15.88072205 0 0 0 0.001217 0.957524 0.288352
-9.85135365 4.28417063 -1.78845215 0 0 0 0.000978 0.999999 0.000978
-7.37461567 4.36006021 6.34076548 0 0 0 -0.068741 -0.996201 -0.053465
-5.79904413 8.10947704 4.70408869 0 0 0 0.000978 0.000978 0.999999
-8.60585499 9.11927509 10.80065632 0 0 0 0.959269 -0.282282 -0.010998
-7.59098244 5.07788277 12.33691597 0 0 0 0.000978 0.000978 -0.999999
-6.54230118 9.68408966 5.52087021 0 0 0 0.001098 -0.991141 0.132811
-6.79779625 9.11922359 10.75264549 0 0 0 0.010858 0.000987 0.999941
-9.45246220 4.55718136 14.44876480 0 0 0 0.000978 0.000978 0.999999
-10.66652679 4.28416920 9.27747536 0 0 0 0.000978 0.999999 0.000978
-5.73595095 9.82490253 3.35064125 0 0 0 0.999999 0.000978 0.000978
-8.59391212 6.16257334 10.76342487 0 0 0 -0.999999 0.000978 0.000978
-5.96107769 9.87270641 8.34424210 0 0 0 0.000978 -0.999999 0.000978
-5.91605091 4.28417015 -3.17569828 0 0 0 0.000978 0.999999 0.000978
-6.71210718 4.36006021 8.88580132 0 0 0 -0.062297 -0.997811 0.022174
-5.96145868 9.09527874 1.09967041 0 0 0 0.001098 -0.991141 0.132811
-6.66491079 9.87270641 9.23848534 0 0 0 0.000978 -0.999999 0.000978
-8.47154427 4.28417063 -4.59570980 0 0 0 0.000978 0.999999 0.000978
-5.83569098 5.78705692 11.29838848 0 0 0 -0.989138 -0.103935 0.103935
-7.08053875 10.08173180 4.46391630 0 0 0 0.000978 -0.999999 0.000978
-5.83595276 7.11565065 13.43427849 0 0 0 -0.999999 0.000978 0.000978
