//X Y Z R G B Nx Ny Nz
50000
8.13561726 8.58852863 -9.05898762 0 0 0 0.000978 -0.999999 0.000978
11.09448242 8.44347286 1.70244360 0 0 0 0.000978 0.999999 0.000978
-1.90223622 8.44369125 -6.00071526 0 0 0 0.000978 0.999999 0.000978
11.48523140 4.35533571 -1.30307662 0 0 0 0.000978 -0.999999 0.000978
12.72522640 6.94398928 -3.07796669 0 0 0 -0.999960 0.000985 0.008867
9.46553421 8.58850193 -8.57504654 0 0 0 0.000978 -0.999999 0.000978
7.63559628 7.00169802 -10.20739460 0 0 0 0.000978 -0.999999 0.000978
2.90218997 4.28417015 -7.73141670 0 0 0 0.000978 0.999999 0.000978
8.73254776 8.58851624 -9.22605324 0 0 0 0.000978 -0.999999 0.000978
12.48525620 8.58845329 -0.68722486 0 0 0 0.000978 -0.999999 0.000978
12.71878052 7.39713049 -0.03224175 0 0 0 -0.999960 0.000985 0.008867
8.13029480 6.52820349 -2.85490060 0 0 0 0.294171 0.001221 0.955752
8.91339493 7.28300476 -3.20810294 0 0 0 -0.297091 0.001223 -0.954848
13.53354549 8.44338799 -13.42742538 0 0 0 0.000978 0.999999 0.000978
12.34725666 8.08835697 1.70457661 0 0 0 -0.985368 -0.170436 0.001129
-2.57240963 5.75184774 -5.86690855 0 0 0 -0.399807 0.001286 -0.916599
2.89550257 8.30761433 -6.53958607 0 0 0 0.000978 0.999999 0.000978
10.05049515 4.35537672 -3.59401011 0 0 0 0.000978 -0.999999 0.000978
4.66285133 4.35549355 -2.88892221 0 0 0 0.000978 -0.999999 0.000978
0.59271073 8.45067501 -3.89615250 0 0 0 0.000978 -0.999999 0.000978
10.19394875 7.72249794 1.73132682 0 0 0 0.985368 -0.170436 -0.001129
6.65590191 8.30754185 -7.49942780 0 0 0 0.000978 0.999999 0.000978
8.89213085 8.58856869 -3.28297091 0 0 0 0.000978 -0.999999 0.000978
9.75010109 8.30746746 -6.43718100 0 0 0 0.000978 0.999999 0.000978
-2.29828095 8.45071030 -5.05171776 0 0 0 0.000978 -0.999999 0.000978
6.82266665 4.28417015 -8.37156105 0 0 0 0.000978 0.999999 0.000978
-0.50920016 8.48409557 0.30993226 0 0 0 0.954848 0.001223 -0.297091
1.94131839 4.28417015 -4.86710167 0 0 0 0.000978 0.999999 0.000978
8.52614689 8.30754948 -3.32715487 0 0 0 0.000978 0.999999 0.000978
-1.70098853 7.65728712 -3.58521366 0 0 0 -0.394846 -0.259727 -0.881271
1.59896898 8.58865643 -7.45767975 0 0 0 0.000978 -0.999999 0.000978
2.65116429 8.44361973 -6.44591475 0 0 0 0.000978 0.999999 0.000978
12.67920589 5.12850237 -12.47893810 0 0 0 -0.999987 0.000981 0.004907
7.10656357 4.28417063 -11.14566994 0 0 0 0.000978 0.999999 0.000978
13.00795937 8.30740356 -2.28060341 0 0 0 0.000978 0.999999 0.000978
9.28258896 8.45048332 -8.53571415 0 0 0 0.000978 -0.999999 0.000978
-1.22780263 6.11015844 -2.12492847 0 0 0 -0.912475 0.001291 0.409130
