//X Y Z R G B Nx Ny Nz
50000
0.05052390 8.77414513 10.35635185 0 0 0 -0.999999 0.000978 0.000978
-1.42670679 4.36006021 14.00380802 0 0 0 -0.031811 -0.994927 0.095434
-2.49439454 4.36006021 4.74546385 0 0 0 -0.011563 -0.997596 -0.068328
-5.21216249 4.36006021 6.84493303 0 0 0 -0.045145 -0.998450 -0.032547
-4.44601011 10.08173180 7.73561859 0 0 0 0.000978 -0.999999 0.000978
0.23653197 6.10574293 4.82334900 0 0 0 0.009461 0.997618 -0.068330
-1.06989467 4.36006021 13.32068443 0 0 0 -0.033808 -0.995708 0.086157
3.51887465 9.49952602 5.96821356 0 0 0 0.977134 -0.212622 0.001162
3.96806908 6.10574293 2.74226499 0 0 0 0.025829 0.999085 -0.034095
-3.49652028 8.09818935 5.94575262 0 0 0 -0.999999 0.000978 0.000978
-3.85555625 6.10574293 2.98899078 0 0 0 -0.001016 0.999131 -0.041673
0.08316820 9.44739532 5.39649820 0 0 0 0.999999 0.000978 0.000978
-5.60751009 9.87270737 10.94361401 0 0 0 0.000978 -0.999999 0.000978
5.89442205 9.17707443 12.33719254 0 0 0 0.999999 0.000978 0.000978
5.10176754 11.07961464 11.49885750 0 0 0 0.406019 0.913864 0.001289
3.44962573 6.92958546 10.80546188 0 0 0 0.999999 0.000978 0.000978
1.21702862 6.10574293 3.83183718 0 0 0 0.051074 0.996493 -0.066288
1.22663367 9.63041210 10.75935173 0 0 0 0.977134 -0.212622 0.001162
0.08316667 7.56061506 13.49513054 0 0 0 0.999999 0.000978 0.000978
4.60335112 10.08173180 13.21695900 0 0 0 0.000978 -0.999999 0.000978
-0.23582602 4.36006021 9.92679405 0 0 0 -0.003032 -0.999439 0.033348
0.31942797 4.36006021 14.26979542 0 0 0 0.003213 -0.995021 0.099609
-4.99852657 9.87270737 5.59926128 0 0 0 0.000978 -0.999999 0.000978
4.28275871 4.36006021 3.67411900 0 0 0 0.070597 -0.993958 -0.084044
-1.01347077 11.46491623 10.35624504 0 0 0 0.000978 0.999999 0.000978
-2.27850938 11.94713402 9.69538212 0 0 0 -0.262509 0.964929 0.001199
1.60040593 11.45840263 9.83160973 0 0 0 0.000978 -0.999999 0.000978
-1.28273439 6.12360096 5.69565439 0 0 0 0.000978 0.999999 0.000978
-2.49246669 6.12363148 14.20730591 0 0 0 0.000978 0.999999 0.000978
-3.73665953 10.08173180 9.53546524 0 0 0 0.000978 -0.999999 0.000978
-3.12227201 11.46491623 6.53619480 0 0 0 0.000978 0.999999 0.000978
-3.10017323 11.46491623 6.97001648 0 0 0 0.000978 0.999999 0.000978
4.80725479 4.36006021 13.25994873 0 0 0 0.065975 -0.994099 0.086103
0.29809761 4.36006021 3.05754757 0 0 0 0.011839 -0.995536 -0.093634
-3.11993241 10.08173180 6.55239534 0 0 0 0.000978 -0.999999 0.000978
2.23548079 6.10574293 6.70664549 0 0 0 -0.117153 0.993065 -0.009854
-4.23432016 10.71201992 2.87890601 0 0 0 0.001219 0.956644 -0.291258
5.01522064 11.11811924 10.35380077 0 0 0 0.406019 0.913864 0.001289
1.09309220 11.45840263 9.72735977 0 0 0 0.000978 -0.999999 0.000978
0.03036088 8.60982037 10.05801201 0 0 0 0.000978 0.999999 0.000978
5.91361809 6.13152313 7.56411362 0 0 0 0.999999 0.000978 0.000978
-4.41020203 8.29991913 6.00515509 0 0 0 0.000978 0.000978 0.999999
4.92453575 11.15847301 6.67249632 0 0 0 0.406019 0.913864 0.001289
-5.48286200 9.60696125 3.99846411 0 0 0 0.001100 0.990809 -0.135260
5.01099396 10.08173180 3.62390590 0 0 0 0.000978 -0.999999 0.000978
0.03489007 9.14749813 9.74843407 0 0 0 0.001162 0.212622 -0.977134
1.98897886 4.36006021 10.07399464 0 0 0 0.017458 -0.999201 0.035942
-2.60715795 4.36006021 9.43767071 0 0 0 -0.023481 -0.999494 0.021440
-5.18382406 11.00861931 11.08677673 0 0 0 -0.406019 0.913864 0.001289
5.69133568 10.08173180 5.41627407 0 0 0 0.000978 -0.999999 0.000978
-3.53828621 11.60537815 10.51712227 0 0 0 -0.262509 0.964929 0.001199
3.73182034 11.46491623 8.14632320 0 0 0 0.000978 0.999999 0.000978
5.28584194 6.10574293 13.97721767 0 0 0 0.011497 0.998158 0.059576
-0.05963030 7.87850952 9.02760029 1 1 1 0.999999 0.000978 0.000978
1.88885832 6.10574293 7.23673296 0 0 0 -0.113516 0.993536 -0.001081
3.34739017 6.10574293 7.35651016 0 0 0 -0.136908 0.990040 0.032813
3.23026991 4.28416777 11.67261791 0 0 0 0.000978 0.999999 0.000978
-2.74859810 6.53697920 9.02828312 1 1 1 0.999999 0.000978 0.000978
-5.71689796 4.36006021 11.28286362 0 0 0 -0.057481 -0.996691 0.057481
1.81814766 12.09307289 5.40675449 0 0 0 0.262509 0.964929 0.001199
4.28256607 6.13269329 6.00516176 0 0 0 0.000978 0.000978 0.999999
3.56321979 10.72556400 2.92359948 0 0 0 0.001219 0.956644 -0.291258
-1.60394001 11.46214390 11.49523163 0 0 0 0.000978 0.000978 0.999999
3.00420761 6.12349319 9.87345695 0 0 0 0.000978 0.999999 0.000978
-4.31092358 6.25354385 10.71575642 0 0 0 0.000978 0.000978 -0.999999
-2.76197338 11.81597996 11.00239754 0 0 0 -0.262509 0.964929 0.001199
-1.25062859 6.61000443 6.00515747 0 0 0 0.000978 0.000978 0.999999
0.31765231 4.36006021 12.03660297 0 0 0 -0.015834 -0.997518 0.068612
-2.10275316 6.10574293 3.03646326 0 0 0 0.009222 0.999075 -0.042012
2.22809553 6.10574293 2.81928945 0 0 0 0.019591 0.999156 -0.036089
1.10215521 6.10574293 10.47043324 0 0 0 -0.028707 0.986388 0.161910
2.82651901 10.08173180 7.62422848 0 0 0 0.000978 -0.999999 0.000978
4.42888260 4.28416824 9.52493382 0 0 0 0.000978 0.999999 0.000978
2.66127682 4.28416777 10.71605492 0 0 0 0.000978 0.999999 0.000978
5.91361475 8.60445976 10.61394024 0 0 0 0.999999 0.000978 0.000978
5.76195812 4.28416824 8.98482990 0 0 0 0.000978 0.999999 0.000978
-4.64696550 10.03839302 10.21749783 0 0 0 0.381263 0.924466 0.001275
2.73712587 11.45840263 9.82092857 0 0 0 0.000978 -0.999999 0.000978
-5.06858158 11.06207466 5.20857334 0 0 0 -0.420274 0.907321 0.011783
5.91361094 9.77328873 14.27905464 0 0 0 0.999999 0.000978 0.000978
4.90427160 9.94218159 5.93705082 0 0 0 0.000978 0.000978 0.999999
-3.47024035 6.10574293 7.25204802 0 0 0 0.020100 0.997574 -0.066646
5.81361818 7.47981119 7.47857952 0 0 0 -0.999999 0.000978 0.000978
0.00737572 4.28416872 4.24162102 0 0 0 0.000978 0.999999 0.000978
5.31001806 9.66857624 10.77399349 0 0 0 0.977134 0.212622 0.001162
0.08316788 9.63992023 12.90605164 0 0 0 0.999999 0.000978 0.000978
-1.97495079 6.12361860 12.93877029 0 0 0 0.000978 0.999999 0.000978
-3.70366216 8.10562325 5.61514521 0 0 0 0.000978 -0.999999 0.000978
0.95236301 7.88807964 10.82745552 0 0 0 0.000978 0.000978 0.999999
-1.25276506 6.23817492 9.41356277 1 1 1 0.999999 0.000978 0.000978
-0.03016567 6.12356949 3.76463985 0 0 0 0.000978 0.999999 0.000978
-3.45418119 6.37574339 5.90314293 0 0 0 0.000978 0.000978 -0.999999
0.62170434 11.46491623 6.34252405 0 0 0 0.000978 0.999999 0.000978
-1.90930557 4.28416872 7.61996555 0 0 0 0.000978 0.999999 0.000978
0.02660232 9.91733456 7.47615862 0 0 0 0.001162 0.212622 0.977134
3.35748124 7.47656107 5.91898489 0 0 0 -0.999999 0.000978 0.000978
3.12569833 6.10574293 13.17947197 0 0 0 -0.018841 0.991947 0.125240
-5.33398294 9.81749630 10.75687122 0 0 0 -0.977134 -0.212622 0.001162
2.82167840 4.36006021 10.79970932 0 0 0 0.024095 -0.998391 0.051334
-2.97818089 4.28416872 5.25435877 0 0 0 0.000978 0.999999 0.000978
0.08316572 7.62960100 3.53708339 0 0 0 0.999999 0.000978 0.000978
6.05547094 8.63748741 12.98375130 0 0 0 -0.720857 -0.012549 -0.692971
5.88172102 7.38500881 4.16311884 0 0 0 0.000978 0.000978 -0.999999
-4.39662647 9.87270832 10.16793156 0 0 0 0.000978 -0.999999 0.000978
-2.71471858 4.36006021 2.72459793 0 0 0 -0.045538 -0.994060 -0.098851
4.84373903 6.12344694 3.43756676 0 0 0 0.000978 0.999999 0.000978
-3.19338369 11.69893360 5.65496254 0 0 0 -0.262509 0.964929 0.001199
2.60805416 8.32521915 10.82745647 0 0 0 0.000978 0.000978 0.999999
-1.77507579 8.28862381 10.82745361 0 0 0 0.000978 0.000978 0.999999
-5.32220554 7.48843384 10.82745075 0 0 0 0.000978 0.000978 0.999999
1.84944141 10.08173180 4.61895752 0 0 0 0.000978 -0.999999 0.000978
-5.19559574 6.12369967 10.46780777 0 0 0 0.000978 0.999999 0.000978
-1.39038324 4.36006021 8.48735619 0 0 0 -0.012883 -0.999913 0.002973
2.53096390 11.46491623 8.42765808 0 0 0 0.000978 0.999999 0.000978
3.09197783 6.12349081 3.59893274 0 0 0 0.000978 0.999999 0.000978
-5.26762486 9.42886066 10.75547504 0 0 0 0.000978 0.000978 0.999999
-3.47810340 6.10574293 7.23446941 0 0 0 0.020142 0.997564 -0.066787
2.94422054 10.08173180 13.77162647 0 0 0 0.000978 -0.999999 0.000978
3.37883520 7.22606754 6.01314306 0 0 0 0.000978 0.000978 0.999999
5.81361914 6.96299410 5.89680195 0 0 0 -0.999999 0.000978 0.000978
0.22066583 9.85377693 5.93704700 0 0 0 0.000978 0.000978 0.999999
-1.12767446 10.08173180 11.79169750 0 0 0 0.000978 -0.999999 0.000978
-4.21749878 11.43847752 7.26754475 0 0 0 -0.406019 0.913864 0.001289
-3.96448803 9.95961285 5.92887926 0 0 0 0.000978 0.999999 0.000978
0.00516630 11.45840263 9.94682026 0 0 0 0.000978 -0.999999 0.000978
4.13774347 11.46379089 10.97695446 0 0 0 0.262509 0.964929 0.001199
-4.50736380 10.08173180 3.45927143 0 0 0 0.000978 -0.999999 0.000978
5.83293819 9.54969597 3.90486431 0 0 0 -0.999999 0.000978 -0.000978
-1.00761700 6.10574293 5.12925816 0 0 0 0.018198 0.996606 -0.080285
1.48176765 4.36006021 7.71067381 0 0 0 0.013037 -0.999830 -0.013037
3.99197340 11.46491623 10.67413807 0 0 0 0.000978 0.999999 0.000978
-0.80419427 9.80882072 5.96659660 0 0 0 0.977134 0.212622 0.001162
-2.16775608 4.28416872 10.27942276 0 0 0 0.000978 0.999999 0.000978
1.57981873 10.80106640 3.17276955 0 0 0 0.001219 0.956644 -0.291258
5.49700737 10.08173180 4.19936514 0 0 0 0.000978 -0.999999 0.000978
1.55264425 8.44053173 6.00515938 0 0 0 0.000978 0.000978 0.999999
3.91255999 10.75196743 3.01073360 0 0 0 0.001219 0.956644 -0.291258
6.04538155 10.08173180 10.38214207 0 0 0 0.000978 -0.999999 0.000978
3.86327744 4.36006021 2.75182629 0 0 0 0.069206 -0.992707 -0.098703
3.12957811 6.10574293 10.31217861 0 0 0 -0.054368 0.977422 0.204183
5.81614161 4.36006021 3.31949854 0 0 0 0.087902 -0.992038 -0.090185
5.81361389 9.82680988 11.04039288 0 0 0 -0.999999 0.000978 0.000978
0.01546051 8.71809483 8.64005375 0 0 0 0.001162 0.212622 0.977134
0.79437685 10.08173180 8.08867741 0 0 0 0.000978 -0.999999 0.000978
