//X Y Z R G B Nx Ny Nz
50000
0.01522453 9.26287365 6.17132664 0 0 0 0.999999 0.000978 0.000978
-1.48842978 6.63179111 9.03064346 0 0 0 0.000978 0.999999 0.000978
-3.59785271 6.12365961 8.08939171 0 0 0 0.000978 0.999999 0.000978
-1.16226876 8.66171360 5.96946096 0 0 0 0.977134 -0.212622 0.001162
0.05052140 8.91637993 8.42649269 0 0 0 -0.999999 0.000978 0.000978
0.11033297 8.36406326 6.00515842 0 0 0 0.000978 0.000978 0.999999
-5.16616488 9.63030338 9.41106987 0 0 0 0.000978 -0.999999 0.000978
0.08074549 8.17099476 9.06675911 0 0 0 0.999999 0.000978 0.000978
-3.94209909 6.12366819 6.66335249 0 0 0 0.000978 0.999999 0.000978
-5.29624462 6.10574293 4.65093327 0 0 0 0.050002 0.994482 -0.092226
0.12852313 8.60575581 10.81564713 0 0 0 0.000978 0.999999 0.000978
-1.29570878 9.12639141 5.94331598 0 0 0 -0.977134 -0.212622 0.001162
-1.60356188 9.54527092 10.76573277 0 0 0 0.977134 -0.212622 0.001162
-5.30424070 9.89170265 7.04328394 0 0 0 0.000978 0.999999 0.000978
-0.01683148 9.57477665 5.76472521 0 0 0 -0.999999 0.000978 0.000978
-0.16756128 11.45840263 8.32174110 0 0 0 0.000978 -0.999999 0.000978
0.00110531 10.08173180 7.81086636 0 0 0 0.000978 -0.999999 0.000978
0.13632560 6.10574293 5.07034636 0 0 0 -0.005223 0.997678 -0.067905
-1.44811904 12.17240715 10.51641464 0 0 0 -0.262509 0.964929 0.001199
-4.21545506 6.10574293 5.35055161 0 0 0 0.077430 0.990411 -0.114412
-0.05414937 8.24808121 6.44623041 0 0 0 0.967374 0.063496 -0.245267
-5.19494724 9.93731213 5.14544392 0 0 0 0.003789 0.935854 -0.352366
0.08316594 7.28936386 4.32660961 0 0 0 0.999999 0.000978 0.000978
-3.94628787 11.46491623 9.89214134 0 0 0 0.000978 0.999999 0.000978
-0.37086588 8.65016270 10.72228241 0 0 0 0.000978 0.000978 0.999999
0.01522539 9.46191406 7.21356106 0 0 0 0.999999 0.000978 0.000978
-3.73676586 9.29945183 10.75861549 0 0 0 0.977134 -0.212622 0.001162
-4.23530197 8.64620018 5.93704987 0 0 0 0.000978 0.000978 0.999999
-4.69814968 7.30060196 6.00515509 0 0 0 0.000978 0.000978 0.999999
-0.47951424 11.45840263 7.87482548 0 0 0 0.000978 -0.999999 0.000978
-4.59176302 9.61139679 10.76842690 0 0 0 0.977134 0.212622 0.001162
-0.19131775 11.45840263 8.68922424 0 0 0 0.000978 -0.999999 0.000978
-3.01388073 6.10574293 4.29017305 0 0 0 0.047195 0.995488 -0.082317
-1.00356269 11.45840263 9.69663334 0 0 0 0.000978 -0.999999 0.000978
0.03760266 6.10574293 10.15940475 0 0 0 -0.025465 0.993150 0.114041
-3.57696033 7.08556843 5.74538088 0 0 0 -0.832674 0.001354 0.553762
-0.97961521 11.45840263 5.78222847 0 0 0 0.000978 -0.999999 0.000978
-3.17194557 10.08173180 9.58449936 0 0 0 0.000978 -0.999999 0.000978
-0.09139061 6.12357092 8.01150131 0 0 0 0.000978 0.999999 0.000978
-2.64469194 10.08173180 5.04525375 0 0 0 0.000978 -0.999999 0.000978
-5.52496767 10.08173180 8.49688721 0 0 0 0.000978 -0.999999 0.000978
-1.98929429 6.10574293 7.55626965 0 0 0 -0.019629 0.998995 -0.040290
-0.01683259 8.91918087 4.74193430 0 0 0 -0.999999 0.000978 0.000978
-2.94907403 6.12364292 4.37550640 0 0 0 0.000978 0.999999 0.000978
-0.19668961 6.99622822 10.51928520 0 0 0 0.010858 0.999941 0.000987
-2.77071977 6.12363863 10.68456936 0 0 0 0.000978 0.999999 0.000978
-1.32390773 6.34329748 7.89362383 0 0 0 0.000978 0.000978 -0.999999
-4.54608250 9.86604023 8.92750549 0 0 0 0.999999 0.000978 0.000978
-2.97188711 11.75903225 10.40006351 0 0 0 -0.262509 0.964929 0.001199
-4.38403273 9.92973423 6.44336033 0 0 0 0.381263 0.924466 0.001275
-0.20490876 6.56232357 9.20462704 0 0 0 0.006132 -0.295545 0.955309
-1.99101830 12.02512550 9.88920403 0 0 0 -0.262509 0.964929 0.001199
-2.74859810 6.40896893 8.13208199 0 0 0 0.999999 0.000978 0.000978
-3.64113498 8.68743610 10.82213211 0 0 0 0.000978 0.000978 -0.999999
-0.01683399 6.64482307 5.25946808 0 0 0 -0.999999 0.000978 0.000978
-1.92571592 6.12361765 4.30093718 0 0 0 0.000978 0.999999 0.000978
-3.99153972 6.96754551 5.12519598 0 0 0 0.832674 0.001354 -0.553762
-4.68294144 7.68293381 6.00515461 0 0 0 0.000978 0.000978 0.999999
-4.54607773 9.77850056 8.12537861 0 0 0 0.999999 0.000978 0.000978
-2.86754322 9.28552914 5.95478106 0 0 0 -0.977134 -0.212622 0.001162
-4.89069271 6.12369204 9.66823483 0 0 0 0.000978 0.999999 0.000978
0.15020445 8.82367134 10.79077435 0 0 0 0.000978 0.000978 -0.999999
-4.25532913 11.42164803 7.09923506 0 0 0 -0.406019 0.913864 0.001289
-0.26864526 6.52656031 8.29667568 0 0 0 -0.071899 0.031120 0.996926
-5.10867691 7.14053059 6.00515461 0 0 0 0.000978 0.000978 0.999999
-3.11585474 6.76280022 6.00515604 0 0 0 0.000978 0.000978 0.999999
-3.64281774 11.57701111 6.00042248 0 0 0 -0.262509 0.964929 0.001199
-2.26340127 6.12362576 4.22385263 0 0 0 0.000978 0.999999 0.000978
-5.02699089 11.07838440 10.40362549 0 0 0 -0.406019 0.913864 0.001289
-2.73109984 6.10574293 4.35226154 0 0 0 0.049602 0.995342 -0.082670
-0.02992600 8.61025524 9.22243881 0 0 0 0.999999 0.000978 0.000978
0.08316644 6.71095276 5.89546108 0 0 0 0.999999 0.000978 0.000978
-4.73023319 10.07281399 6.71126366 0 0 0 0.381263 0.924466 0.001275
-0.01925636 7.21287107 7.90163660 0 0 0 -0.999999 0.000978 0.000978
-5.33086920 6.12370300 9.92662716 0 0 0 0.000978 0.999999 0.000978
-5.58888197 10.08173180 10.14716339 0 0 0 0.000978 -0.999999 0.000978
0.08074506 7.22015381 10.26054955 0 0 0 0.999999 0.000978 0.000978
-5.12016821 9.89170265 6.66733456 0 0 0 0.000978 0.999999 0.000978
-1.24608338 12.22720814 6.04939938 0 0 0 -0.262509 0.964929 0.001199
-4.69926834 6.10561275 10.81643963 0 0 0 0.000978 -0.999999 0.000978
-1.38465631 6.10574293 5.33735800 0 0 0 0.013885 0.996516 -0.082242
-3.75461531 6.12366343 4.16963959 0 0 0 0.000978 0.999999 0.000978
-2.52729607 9.68318272 5.95095730 0 0 0 0.977134 0.212622 0.001162
-0.15304089 6.10574293 7.14683819 0 0 0 -0.062683 0.997621 -0.028686
-0.31057996 6.69503880 10.12244034 0 0 0 0.000978 0.999999 0.000978
0.08338395 11.45840263 8.04442120 0 0 0 0.000978 -0.999999 0.000978
-0.15345773 7.34752655 10.26830292 0 0 0 0.459388 -0.268872 -0.846564
