//X Y Z R G B
50248
-1.30818439 -3.39166117 -5.06463718 0 0 135
-1.36781251 -3.5934453 -5.06402636 0 0 158
-1.2816211 -3.3499465 -5.06370831 0 0 115
-1.32218814 -3.55743575 -5.06505775 0 0 152
-0.72921026 -3.56213975 -5.06331825 0 0 130
-0.79495025 -3.67333388 -5.06236029 0 0 139
-1.3229717 -3.34296608 -5.06624174 0 0 115
-1.25501132 -3.55352736 -5.06321764 0 0 144
-1.37364209 -5.88529348 -5.05630016 0 0 116
-1.17375147 -3.26853895 -5.06464338 0 0 143
-1.21219313 -3.28613734 -5.06433725 0 0 149
-1.35711753 -5.85127115 -5.05794048 0 0 112
-1.26732564 -3.69034362 -5.06263828 0 0 142
-1.25583303 -3.67793036 -5.06263447 0 0 141
-1.13517606 -0.80263865 -5.07192421 0 0 141
-1.37306213 -5.94633389 -5.05403662 0 0 90
-1.49199748 -3.62134838 -5.06376791 0 0 142
-1.50385547 -3.62707472 -5.0635004 0 0 130
-1.16048706 -3.299124 -5.06372881 0 0 133
-1.31469154 -3.34529948 -5.06694794 0 0 135
-0.76915675 -4.4816246 -5.05876017 0 0 145
-1.14202464 -0.83700991 -5.06933832 0 0 141
-0.74083656 -3.7057929 -5.06396818 0 0 163
-1.41789806 -3.84412384 -5.0593009 0 0 146
-1.38264632 -3.83576298 -5.06253672 0 0 144
-0.75702959 -3.26072621 -5.0642786 0 0 143
-0.71030998 -3.66532397 -5.06276178 0 0 106
-0.70321196 -3.683213 -5.06214762 0 0 133
-1.27250373 -3.28009963 -5.06557846 0 0 135
-1.22066188 -3.2554307 -5.06352377 0 0 121
-1.37789762 -0.97236848 -5.06955194 0 0 121
-0.74201602 -3.77259851 -5.06308365 0 0 164
-1.41094565 -3.87603068 -5.0628891 0 0 135
-1.26245439 -0.9137643 -5.06846619 0 0 129
-0.70877564 -3.26154852 -5.06479502 0 0 140
-0.72156501 -3.31935763 -5.06526279 0 0 141
-1.39690137 -3.4518559 -5.06455231 0 0 144
-0.70287651 -3.29441214 -5.06455517 0 0 154
-1.3257333 -3.69205475 -5.06328869 0 0 142
-0.73418301 -3.40555143 -5.06191683 0 0 139
-0.7284829 -3.79906487 -5.06304455 0 0 122
-0.73034739 -3.78904986 -5.06309223 0 0 135
-1.32528198 -3.41147065 -5.05807686 100 0 0
-0.72023112 -4.4008975 -5.05938816 0 0 124
-1.37534499 -3.45552754 -5.06489801 0 0 99
-1.36688399 -3.72524381 -5.06273222 0 0 136
-1.40836132 -3.4918499 -5.06460476 0 0 143
-1.35623717 -3.73048663 -5.06197643 0 0 120
-1.30957961 -3.80200505 -5.06095743 0 0 138
-1.32955182 -3.58532023 -5.06483412 0 0 140
-1.26090991 -3.37091351 -5.0635767 0 0 119
-1.24673975 -3.37070727 -5.06303692 0 0 128
-1.51084173 -3.80895424 -5.05886841 0 0 151
-1.50782025 -3.80819774 -5.05874109 0 0 152
-1.11317027 -0.94229031 -5.06729078 0 0 134
-1.22854745 -3.51272607 -5.05790329 0 0 86
-1.13565457 -3.68220854 -5.06146193 0 0 143
-1.26090622 -0.8764742 -5.06942797 0 0 120
-1.30465317 -5.85463142 -5.05488634 0 0 129
-1.2395674 -0.80225903 -5.06941128 0 0 140
-1.10919666 -3.64383006 -5.06159163 0 0 148
-1.2122426 -3.25023723 -5.06328583 0 0 80
